,whisky,title,links,image_links,img_path
694,Yamazaki Bourbon Barrel,Yamazaki Bourbon Barrel - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/51422/yamazaki-bourbon-barrel,https://static.whiskybase.com/storage/whiskies/5/1/422/97099-big.jpg,/opt/ml/workspace/images/694.jpg
695,Two Brewers Cask Strength (all releases),Two Brewers Classic - Release 29 - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/201490/two-brewers-classic-release-29,https://static.whiskybase.com/storage/whiskies/2/0/1490/358810-big.jpg,/opt/ml/workspace/images/695.jpg
696,Balvenie 15yo Single Barrel (Cask),Balvenie 15-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/84989/balvenie-15-year-old,https://static.whiskybase.com/storage/whiskies/8/4/989/171232-big.jpg,/opt/ml/workspace/images/696.jpg
697,Bruichladdich Laddie Sixteen 16yo,Bruichladdich 16-year-old - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/34814/bruichladdich-16-year-old,https://static.whiskybase.com/storage/whiskies/3/4/814/75072-big.jpg,/opt/ml/workspace/images/697.jpg
698,Glencadam 30yo,Glencadam 1975 DR - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/8162/glencadam-1975-dr,https://static.whiskybase.com/storage/whiskies/8/1/62/61607-big.jpg,/opt/ml/workspace/images/698.jpg
699,Glenmorangie Spios Private Edition No 9,Glenmorangie Spìos - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/106988/glenmorangie-spos,https://static.whiskybase.com/storage/whiskies/1/0/6988/174245-big.jpg,/opt/ml/workspace/images/699.jpg
700,Kilkerran Work in Progress Bourbon Wood,Kilkerran Work in Progress - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/67379/kilkerran-work-in-progress,https://static.whiskybase.com/storage/whiskies/6/7/379/339848-big.jpg,/opt/ml/workspace/images/700.jpg
701,Two Brewers Release 06 Classic,Two Brewers Classic - Release 06 - Ratings and reviews ...,https://www.whiskybase.com/whiskies/whisky/98582/two-brewers-classic-release-06,https://static.whiskybase.com/storage/whiskies/default/big.png?v4,/opt/ml/workspace/images/701.jpg
702,Compass Box Enlightenment,Enlightenment NAS CB - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/81159/enlightenment-nas-cb,https://static.whiskybase.com/storage/whiskies/8/1/159/126840-big.jpg,/opt/ml/workspace/images/702.jpg
703,Glenmorangie Tusail,Glenmorangie Tùsail - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/58144/glenmorangie-tsail,https://static.whiskybase.com/storage/whiskies/5/8/144/100673-big.jpg,/opt/ml/workspace/images/703.jpg
704,Bladnoch 19yo (Cow label),Bladnoch 19-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/185288/bladnoch-19-year-old,https://static.whiskybase.com/storage/whiskies/1/8/5288/329199-big.jpg,/opt/ml/workspace/images/704.jpg
705,AnCnoc 16yo,An Cnoc 16-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/137697/an-cnoc-16-year-old,https://static.whiskybase.com/storage/whiskies/1/3/7697/231255-big.jpg,/opt/ml/workspace/images/705.jpg
706,Hakushu 10yo,Springbank 10-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/125943/springbank-10-year-old,https://static.whiskybase.com/storage/whiskies/1/2/5943/212089-big.jpg,/opt/ml/workspace/images/706.jpg
707,Hakushu 12yo,Hakushu 12-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/37557/hakushu-12-year-old,https://static.whiskybase.com/storage/whiskies/3/7/557/278181-big.jpg,/opt/ml/workspace/images/707.jpg
708,Aultmore 18yo,Aultmore 18-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/69903/aultmore-18-year-old,https://static.whiskybase.com/storage/whiskies/6/9/903/113552-big.jpg,/opt/ml/workspace/images/708.jpg
709,Compass Box Rivals,Rivals 2016 CB - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/97831/rivals-2016-cb,https://static.whiskybase.com/storage/whiskies/9/7/831/194931-big.jpg,/opt/ml/workspace/images/709.jpg
710,Glenfiddich 26yo Excellence,Glenfiddich Excellence - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/56518/glenfiddich-excellence,https://static.whiskybase.com/storage/whiskies/5/6/518/89126-big.jpg,/opt/ml/workspace/images/710.jpg
711,Arran Malt 14yo,Arran 14-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/55100/arran-14-year-old,https://static.whiskybase.com/storage/whiskies/5/5/100/86703-big.jpg,/opt/ml/workspace/images/711.jpg
712,Stronachie 18yo,Stronachie 18-year-old DR - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/56579/stronachie-18-year-old-dr,https://static.whiskybase.com/storage/whiskies/5/6/579/88467-big.jpg,/opt/ml/workspace/images/712.jpg
713,Yamazaki 12yo,Yamazaki 12-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/6016/yamazaki-12-year-old,https://static.whiskybase.com/storage/whiskies/6/0/16/278212-big.jpg,/opt/ml/workspace/images/713.jpg
714,Longrow 10yo,Longrow 10-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/166903/longrow-10-year-old,https://static.whiskybase.com/storage/whiskies/1/6/6903/287322-big.jpg,/opt/ml/workspace/images/714.jpg
715,BenRiach Cask Strength,BenRiach Cask Strength - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/110481/benriach-cask-strength,https://static.whiskybase.com/storage/whiskies/1/1/0481/225243-big.jpg,/opt/ml/workspace/images/715.jpg
716,Caol Ila 15yo Unpeated 2018,Caol Ila 15-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/116915/caol-ila-15-year-old,https://static.whiskybase.com/storage/whiskies/1/1/6915/198647-big.jpg,/opt/ml/workspace/images/716.jpg
717,Kavalan Podium,Kavalan Podium - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/39835/kavalan-podium,https://static.whiskybase.com/storage/whiskies/3/9/835/77314-big.jpg,/opt/ml/workspace/images/717.jpg
718,Linkwood 12yo (F&F),Linkwood 1959 GM - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/34732/linkwood-1959-gm,https://static.whiskybase.com/storage/whiskies/3/4/732/335216-big.jpg,/opt/ml/workspace/images/718.jpg
719,Mackmyra The First Edition (Den Första Utgåvan),Mackmyra The First Edition - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/15062/mackmyra-the-first-edition,https://static.whiskybase.com/storage/whiskies/1/5/062/65593-big.jpg,/opt/ml/workspace/images/719.jpg
720,Two Brewers Release 13 Classic,Two Brewers Classic - Release 13 - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/133754/two-brewers-classic-release-13,https://static.whiskybase.com/storage/whiskies/default/big.png?v4,/opt/ml/workspace/images/720.jpg
721,Arran Malt 12yo Cask Strength (all editions),Arran 12-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/46859/arran-12-year-old,https://static.whiskybase.com/storage/whiskies/4/6/859/81472-big.jpg,/opt/ml/workspace/images/721.jpg
722,Mackmyra Ten Years 10yo,Mackmyra 10-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/94420/mackmyra-10-year-old,https://static.whiskybase.com/storage/whiskies/9/4/420/215108-big.jpg,/opt/ml/workspace/images/722.jpg
723,Hibiki 12yo,Hibiki 12-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/43066/hibiki-12-year-old,https://static.whiskybase.com/storage/whiskies/4/3/066/78876-big.jpg,/opt/ml/workspace/images/723.jpg
