,Fresh Fruit,Added on,Sweaty,Member ratings,Bottled for,Wishlist num,Leafy,Oily,Bottler,Collection,All Rating,Whiskybase ID,Kippery,Citric,Sherried,Mossy,Nutty,Toasted,Plastic,Solvent,Barcode,Medicinal,Coal-gas,Husky,Yeasty,Hay-like,Leathery,Vegetative,Dried Fruit,Calculated age,Category,Strength,Casktype,Green-House,New Wood,Number of bottles,Honey,Price,Bottled,Distillery,Vanilla,Malt Extract,Vintage,Cooked Fruit,Tobacco,Chocolate,Bottle code,Casknumber,Stated Age,Smokey,Market,Cooked Vegetable,Old Wood,Cooked Mash,Rubbery,Votes,Size,Fragant,Sandy,Bottling serie,Label
218,1,25 Apr 2014 2:29 pm by Mr.Sandwich,0,66,NaN,26,1,0,Gordon & MacPhail (GM),40,93.89,WB54072,0,1,1,0,1,1,0,1,NaN,0,0,0,1,1,1,0,1,NaN,Single Malt,43.0 % Vol.,1st fill sherry butt,0,0,NaN,1,€ 2649.75,21.11.2012,Mortlach,1,1,27.01.1954,0,0,1,NaN,494,58 years old,0,NaN,0,0,0,0,66,700 ml,0,0,Rare Old,NaN
219,0,18 May 2010 9:47 pm,0,47,Japan Exclusive,20,0,0,Distillery Bottling,44,93.89,WB16087,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,54.4 % Vol.,Oloroso Sherry Butt,0,0,439,0,€ 3083.03,01.2010,Glendronach,0,0,28.02.1972,0,0,0,NaN,703,37 years old,0, Japan,0,0,0,0,47,700 ml,0,0,Single Cask,NaN
220,0,28 Jun 2009 9:42 pm,0,27,NaN,13,0,0,Taste Still (TS),4,93.88,WB9247,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,41.5 % Vol.,Refill Sherry Cask,0,0,158,0,NONE,09.2006,Bowmore,0,0,1968,0,0,0,NaN,3823,37 years old,0,NaN,0,0,0,0,27,700 ml,0,0,Selection,NaN
221,0,09 Nov 2014 4:34 pm by Sjaunja,0,19,NaN,14,0,0,Distillery Bottling,6,93.88,WB60221,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,40.4 % Vol.,NaN,0,0,81,0,€ 1495.00,2013,Glenglassaugh,0,0,1967,0,0,0,NaN,NaN,43 years old,0,NaN,0,0,0,0,19,700 ml,0,0,Rare Cask Series - Aged Over 40 Years Old,NaN
222,1,17 May 2014 9:43 pm by Schmausel,0,26,NaN,23,0,0,Distillery Bottling,13,93.88,WB54949,0,1,1,1,0,0,0,0,NaN,0,0,0,0,0,0,0,1,NaN,Single Malt,43.3 % Vol.,1st Fill Sherry Butt,0,0,360,0,€ 29125.82,2014,Glenfarclas,0,1,1953,0,0,1,NaN,1672,60 years old,0,NaN,0,1,0,0,26,700 ml,0,0,NaN,NaN
223,0,26 May 2012 12:02 pm,0,118,NaN,32,0,0,Distillery Bottling,99,93.88,WB33448,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,47.9 % Vol.,Pedro Ximénez Sherry Puncheon,0,2,529,0,€ 8147.97,06.2012,Glendronach,0,0,25.02.1971,0,0,0,NaN,1247,41 years old,0,NaN,0,0,0,0,118,700 ml,0,0,Single Cask - Batch 6,NaN
224,0,06 Dec 2007 9:12 pm,0,35,NaN,18,0,0,Distillery Bottling,47,93.88,WB979,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,31 years old,Single Malt,51.7 % Vol.,Bourbon Cask,0,0,106,0,€ 2058.50,20.09.2005,Ardbeg,0,0,06.1974,0,0,0,NaN,2743,NaN,0, France,0,0,0,0,35,700 ml,0,0,NaN,NaN
225,0,12 Mar 2010 12:45 pm,0,26,NaN,13,0,0,Distillery Bottling,3,93.87,WB14401,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,51.8 % Vol.,Bourbon Oak Cask,0,0,NaN,0,€ 2720.69,10.1996,Springbank,0,0,02.1966,0,0,0,NaN,1966 472,30 years old,0, United States,0,0,0,0,26,750 ml,0,0,Local Barley,NaN
226,0,21 Mar 2010 6:51 pm,0,32,NaN,21,0,0,Distillery Bottling,31,93.87,WB14724,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,42.9 % Vol.,Oloroso Cask,0,0,300,0,€ 38674.93,2003,Bowmore,0,0,05.11.1964,0,0,0,NaN,NaN,38 years old,0,NaN,0,0,0,0,32,700 ml 750 ml,0,0,The Trilogy Series,NaN
227,0,04 Oct 2009 6:20 pm,0,47,Samaroli,26,0,0,R. W. Duthie & Co. (RWD),31,93.87,WB10905,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,53.0 % Vol.,NaN,0,0,960,0,€ 8366.64,1985,Springbank,0,0,1973,0,0,0,NaN,NaN,NaN,0, Italy,0,0,0,0,47,750 ml,0,0,NaN,Natural Strength
228,0,22 Dec 2008 12:05 pm,0,62,NaN,57,0,0,Douglas Laing (DL),31,93.87,WB5622,0,0,0,0,0,0,0,0,5014218753967,0,0,0,0,0,0,0,0,NaN,Single Malt,50.8 % Vol.,NaN,0,0,201,0,€ 12445.52,02.2003,Brora,0,0,03.1972,0,0,0,NaN,DL 983,30 years old,0,NaN,0,0,0,0,62,750 ml,0,0,Old Malt Cask,NaN
229,1,21 Feb 2008 11:54 am,0,27,NaN,11,0,0,Duncan Taylor (DT),21,93.86,WB1544,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,41.4 % Vol.,NaN,0,0,210,0,NONE,08.2002,Bowmore,0,0,02.1968,0,0,0,NaN,1427,34 years old,0,NaN,0,0,0,0,27,700 ml,0,0,Peerless,NaN
230,0,13 Jan 2008 2:48 pm,0,38,Clan des Grands Malts,23,0,0,Distillery Bottling,35,93.86,WB1297,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,26 years old,Single Malt,46.2 % Vol.,Sherry hogshead,0,0,252,0,€ 5608.04,26.03.2002,Ardbeg,0,0,26.12.1975,0,0,0,NaN,4701,NaN,0, France,0,0,0,0,38,700 ml,0,0,NaN,NaN
231,0,20 Feb 2008 3:34 pm,0,62,NaN,37,0,0,Kingsbury (Kb),39,93.86,WB1526,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,0,NaN,Single Malt,50.0 % Vol.,Hogshead,0,1,278,0,€ 14208.26,09.2000,Ardbeg,0,1,30.08.1974,0,0,0,NaN,NaN,26 years old,1,NaN,0,0,0,0,62,700 ml,0,0,Celtic Series,NaN
232,0,19 Dec 2009 4:18 pm,0,63,NaN,40,0,0,Samaroli (Sa),25,93.85,WB12517,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,57.0 % Vol.,Fino Sherry,0,0,NaN,0,€ 10797.94,NaN,Glen Garioch,0,0,1975,0,0,0,NaN,NaN,13 years old,0, Italy,0,0,0,0,63,750 ml,0,0,Handwritten label,NaN
233,0,28 Nov 2008 5:03 pm,0,68,NaN,41,0,0,Douglas Laing (DL),53,93.85,WB5102,0,1,1,0,0,0,0,0,NaN,1,0,0,0,1,1,0,1,NaN,Single Malt,48.4 % Vol.,Sherry Cask,0,1,227,0,€ 8915.45,11.2001,Ardbeg,0,0,10.1972,0,0,1,NaN,NaN,29 years old,1, United States,0,0,0,0,68,750 ml,0,0,Old Malt Cask,NaN
234,1,27 Feb 2008 5:05 pm,0,33,NaN,19,0,0,Distillery Bottling,20,93.84,WB1593,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,47.3 % Vol.,Sherry Butt,0,0,435,0,€ 9526.37,27.02.2007,Glenfarclas,0,0,01.06.1956,0,0,0,NaN,1758,50 years old,0,NaN,0,0,0,0,33,700 ml,0,0,The Family Casks,NaN
235,0,12 Mar 2010 3:31 pm,0,27,NaN,9,0,0,Distillery Bottling,6,93.84,WB14412,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,54.0 % Vol.,Bourbon Cask,0,0,NaN,0,€ 2090.64,10.1997,Springbank,0,0,02.1966,0,0,0,NaN,1966 490,31 years old,0,NaN,0,0,0,0,27,700 ml,0,0,Local Barley,NaN
236,0,02 Mar 2008 5:43 pm,0,29,NaN,25,0,0,Distillery Bottling,16,93.84,WB1627,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,32 years old,Single Malt,53.5 % Vol.,Bourbon,0,0,76,0,€ 5490.00,25.09.2006,Ardbeg,0,0,12.07.1974,0,0,0,NaN,3328,NaN,0, Italy,0,0,0,0,29,700 ml,0,0,NaN,NaN
